LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate,ParameterList
2651,05-12,03:19:53.045,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2652,05-12,03:19:53.045,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2653,05-12,03:19:53.191,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2654,05-12,03:19:53.191,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2655,05-12,03:19:53.191,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2656,05-12,03:19:53.191,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2657,05-12,03:19:53.191,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2658,05-12,03:19:53.244,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2659,05-12,03:19:53.244,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2660,05-12,03:19:53.245,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2661,05-12,03:19:53.299,1000,REL,*launch*,10feb835,*launch*,[]
2662,05-12,03:19:53.466,1000,ACQ,*alarm* (partial),fc8c8dd6,*alarm* (partial),[]
2663,05-12,03:19:53.467,1000,REL,*alarm*,14e9711f,*alarm*,[]
2664,05-12,03:19:54.529,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2665,05-12,03:19:54.529,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2666,05-12,03:19:54.702,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2667,05-12,03:19:54.702,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2668,05-12,03:19:55.334,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2669,05-12,03:19:55.334,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2670,05-12,03:19:55.485,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2671,05-12,03:19:55.485,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2672,05-12,03:19:56.380,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2673,05-12,03:19:56.380,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2674,05-12,03:19:56.524,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2675,05-12,03:19:56.524,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2676,05-12,03:19:56.935,1000,ACQ,*vibrator* (partial),fa1f567a,*vibrator* (partial),[]
2677,05-12,03:19:57.094,1000,REL,*vibrator*,8398adf0,*vibrator*,[]
2678,05-12,01:07:20.661,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2679,05-12,01:07:20.661,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2680,05-12,01:07:20.716,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2681,05-12,01:07:20.716,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2682,05-12,01:07:20.718,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2683,05-12,01:07:20.719,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2684,05-12,01:07:20.719,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2685,05-12,01:07:20.719,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2686,05-12,01:07:20.726,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2687,05-12,01:07:20.726,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2688,05-12,01:07:20.726,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2689,05-12,01:07:20.728,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2690,05-12,01:07:20.728,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2691,05-12,01:07:20.728,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2692,05-12,01:07:20.730,10119,REL,bugle_datamodel_executor_wakelock,8862b859,bugle_datamodel_executor_wakelock,[]
2693,05-12,01:07:20.735,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2694,05-12,01:07:20.735,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2695,05-12,01:07:20.735,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2696,05-12,01:07:20.736,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2697,05-12,01:07:20.736,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2698,05-12,01:07:20.736,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2699,05-12,01:07:20.742,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
