LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate,ParameterList
3578,01-14,18:59:48.906,1001,REL,*telephony-sem-radio*,7082e793,*telephony-sem-radio*,[]
3579,01-14,18:59:48.906,1001,ACQ,*telephony-sem-radio* (partial),9cef9b02,*telephony-sem-radio* (partial),[]
3580,01-14,18:59:48.906,1001,REL,*telephony-sem-radio*,7082e793,*telephony-sem-radio*,[]
3581,01-14,18:59:48.916,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
3582,01-14,18:59:48.916,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
3583,01-14,18:59:48.917,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
3584,01-14,18:59:48.938,1001,REL,RILJ_ACK_WL,0aca88b2,RILJ_ACK_WL,[]
3585,01-14,18:59:48.980,10234,ACQ,GCM_WORK (partial),1160256d,GCM_WORK (partial),[]
3586,01-14,18:59:48.980,10038,REL,Doze,04cd0834,Doze,[]
3587,01-14,18:59:48.981,10234,REL,GCM_WORK,b44ae528,GCM_WORK,[]
3588,01-14,18:59:49.105,1001,REL,RILJ_ACK_WL,0aca88b2,RILJ_ACK_WL,[]
3589,01-14,18:59:50.400,1000,ACQ,LockoutResetMonitor:SendLockoutReset (partial),2605eceb,LockoutResetMonitor:SendLockoutReset (partial),[]
3590,01-14,18:59:50.401,1000,ACQ,LockoutResetMonitor:SendLockoutReset (partial),2605eceb,LockoutResetMonitor:SendLockoutReset (partial),[]
3591,01-14,18:59:50.402,10038,ACQ,faceLockoutResetCallback (partial),47d957c8,faceLockoutResetCallback (partial),[]
3592,01-14,18:59:50.402,10038,ACQ,lockoutResetCallback (partial),1319213f,lockoutResetCallback (partial),[]
3593,01-14,18:59:50.403,1000,REL,LockoutResetMonitor:SendLockoutReset,25536d10,LockoutResetMonitor:SendLockoutReset,[]
3594,01-14,18:59:50.403,1000,REL,LockoutResetMonitor:SendLockoutReset,25536d10,LockoutResetMonitor:SendLockoutReset,[]
3595,01-14,18:59:50.414,10038,REL,lockoutResetCallback,c93bf05d,lockoutResetCallback,[]
3596,01-14,18:59:50.415,10038,REL,faceLockoutResetCallback,320c6998,faceLockoutResetCallback,[]
3597,01-14,18:59:50.472,10234,ACQ,NlpWakeLock (partial),bd8ac4d0,NlpWakeLock (partial),[]
3598,01-14,18:59:50.472,10234,REL,NlpWakeLock,03b55498,NlpWakeLock,[]
3599,01-14,18:59:50.532,10234,ACQ,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation (partial),82f4eed5,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation (partial),[]
3600,01-14,18:59:50.535,10234,ACQ,*gms_scheduler*:internal (partial),ed1da152,*gms_scheduler*:internal (partial),[]
3601,01-14,18:59:50.576,10234,REL,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,3165aaef,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,[]
