LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate
130,01-09,12:22:12.054,1001,REL,*telephony-radio*,E24,*telephony-radio*
131,01-09,12:22:12.058,1001,REL,*telephony-radio*,E24,*telephony-radio*
132,01-09,12:22:12.058,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
133,01-09,12:22:12.059,1001,REL,*telephony-radio*,E24,*telephony-radio*
134,01-09,12:22:12.115,10241,REL,Doze,E26,Doze
135,01-09,12:22:12.165,10241,REL,Scrims,E27,Scrims
136,01-09,12:22:50.282,1000,ACQ,*alarm* (partial),E153,*alarm* (partial)
137,01-09,12:22:50.290,1000,ACQ,com.android.server.stats.StatsCompanionService$PullingAlarmListener (partial),E154,com.android.server.stats.StatsCompanionService$PullingAlarmListener (partial)
138,01-09,12:22:50.295,1000,REL,com.android.server.stats.StatsCompanionService$PullingAlarmListener,E35,com.android.server.stats.StatsCompanionService$PullingAlarmListener
139,01-09,12:22:50.365,1000,REL,*alarm*,E40,*alarm*
140,01-09,12:23:31.523,10147,ACQ,GCM_READ (partial),E146,GCM_READ (partial)
141,01-09,12:23:31.524,10147,ACQ,GCM_WORK (partial),E148,GCM_WORK (partial)
142,01-09,12:23:31.526,10147,REL,GCM_READ,E29,GCM_READ
143,01-09,12:23:31.533,10147,ACQ,GOOGLE_C2DM (partial),E149,GOOGLE_C2DM (partial)
144,01-09,12:23:31.536,10147,REL,GOOGLE_C2DM,E32,GOOGLE_C2DM
145,01-09,12:23:31.543,10147,REL,GCM_WORK,E31,GCM_WORK
146,01-09,12:23:31.553,10147,ACQ,GCM_WORK (partial),E148,GCM_WORK (partial)
147,01-09,12:23:31.555,10147,REL,GCM_WORK,E31,GCM_WORK
148,01-09,12:23:33.868,10182,ACQ,MotoDisplayWakeLock (partial),E122,MotoDisplayWakeLock (partial)
149,01-09,12:23:33.995,10241,ACQ,Doze (partial),E150,Doze (partial)
150,01-09,12:23:34.011,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
151,01-09,12:23:34.012,1001,REL,*telephony-radio*,E24,*telephony-radio*
152,01-09,12:23:34.012,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
153,01-09,12:23:34.016,1001,REL,*telephony-radio*,E24,*telephony-radio*
154,01-09,12:23:34.016,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
155,01-09,12:23:34.017,1001,REL,*telephony-radio*,E24,*telephony-radio*
156,01-09,12:23:34.018,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
157,01-09,12:23:34.018,1001,REL,*telephony-radio*,E24,*telephony-radio*
158,01-09,12:23:34.018,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
159,01-09,12:23:34.020,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
160,01-09,12:23:34.020,1001,REL,*telephony-radio*,E24,*telephony-radio*
161,01-09,12:23:34.020,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
162,01-09,12:23:34.022,1000,ACQ,NetworkStats (partial),E145,NetworkStats (partial)
163,01-09,12:23:34.036,1000,REL,NetworkStats,E25,NetworkStats
